"AG
Code",AG Code Description,"Main A/c
Code",Main Account Code Description,"Existing
Account
Codes","Erstwhile Specific Account Code
Description",GL Code,GL Description on ERP
10,Fixed Assets,,,New,,1000000000,Asset Tech. Clrg account
10,Fixed Assets,10.1,Land and Land Rights,10 101,Land Owned under full title,1010100000,Land Owned under full title
10,Fixed Assets,10.1,Land and Land Rights,10 102,Land held under lease,1010200000,Land held under lease
10,Fixed Assets,10.1,Land and Land Rights,10 103,Cost of land development on lease hold land,1010300000,Cost of land development on lease hold land
10,Fixed Assets,10.2,Buildings,10 207,Buildings Containing Transmission Installations,1020700000,Buildings Containing Transmission Installations
10,Fixed Assets,10.2,Buildings,10 211,Office Building,1021100000,Office Building
10,Fixed Assets,10.2,Buildings,10 212,Guest/Inspection House,1021200000,Guest/Inspection House
10,Fixed Assets,10.2,Buildings,10 222,Residential Colony for Staff,1022200000,Residential Colony for Staff
10,Fixed Assets,10.2,Buildings,10 233,Other Buildings,1023300000,Other Buildings
10,Fixed Assets,10.3,Hydraulic Works,10 315,"Sweet Water Arrangement including Reservoir, etc.",1031500000,Sweet Water Arrangement including Reservoir etc.
10,Fixed Assets,10.3,Hydraulic Works,10 320,Plant and pipelines for Water Supply in Residential Colony,1032000000,Plant-pipelines for Water Spply in Residential Col
10,Fixed Assets,10.3,Hydraulic Works,10 322,Drainage and Sewerage- Residential Colony,1032200000,Drainage and Sewerage- Residential Colony
10,Fixed Assets,10.4,Other Civil Works,10 401,Pucca Roads,1040100000,Pucca Roads
10,Fixed Assets,10.4,Other Civil Works,10 402,Kutcha Roads,1040200000,Kutcha Roads
10,Fixed Assets,10.5,Plant and Machinery,10 521,"Mulsyfire System, Fire Hydrant, Fire Fighting Equipments, Fire Alarm Systems And Allied Equipments",1052100000,Mulsy Syst-Fire Hyd-Fight.-Allied Equip-Alarm Syst
10,Fixed Assets,10.5,Plant and Machinery,10 522,"Periphery Lightning, High Mast, Street Light And Signals And Allied Lightings",1052200000,"Periphery-Allied Lightng, High Mast, Street L&S"
10,Fixed Assets,10.5,Plant and Machinery,10 541,Transmission Plant: Trasformers Having a rating of 100KVA and above,1054100000,Transmission Plant:Transformer rating 100KVA & abv
10,Fixed Assets,10.5,Plant and Machinery,10 542,Other Transformers,1054200000,Other Transformers
10,Fixed Assets,10.5,Plant and Machinery,10 543,"Other Transmission Plant: Transformer Kiosks, Sub-Station Equipment and other Fixed Apparatus",1054300000,"Othr TP: Transformer Kiosks, SS Equip&othr Fxd App"
10,Fixed Assets,10.5,Plant and Machinery,10 544,Capacitor Bank (PSDF Funded),1054400000,Capacitor Bank (PSDF Funded)
10,Fixed Assets,10.5,Plant and Machinery,10 545,Renovation & Upgradation (PSDF Funded),1054500000,Renovation & Upgradation (PSDF Funded)
10,Fixed Assets,10.5,Plant and Machinery,10 546,HTLS conductor (PSDF Funded),1054600000,HTLS conductor (PSDF Funded)
10,Fixed Assets,10.5,Plant and Machinery,10 551,"Material Handling Equipment: Earth-Movers, Bulldozers",1055100000,"Material Handling Equip: Earth- Movers, Bulldozers"
10,Fixed Assets,10.5,Plant and Machinery,10 552,Material Handling Equipment: Cement Mixers,1055200000,Material Handling Equipment: Cement Mixers
10,Fixed Assets,10.5,Plant and Machinery,10 553,Material Handling Equipment: Cranes,1055300000,Material Handling Equipment: Cranes
10,Fixed Assets,10.5,Plant and Machinery,10 555,Material Handling Equipment: Others,1055500000,Material Handling Equipment: Others
10,Fixed Assets,10.5,Plant and Machinery,10 561,Switchgear including Cable Connections,1056100000,Switchgear including Cable Connections
10,Fixed Assets,10.5,Plant and Machinery,10 563,Batteries including Charging Equipment,1056300000,Batteries including Charging Equipment
10,Fixed Assets,10.5,Plant and Machinery,10 565,Fabrication Shop/Workshop Plant and Equipments,1056500000,Fabrication Shop/Workshop Plant and Equipments
10,Fixed Assets,10.5,Plant and Machinery,10 567,Lightning Arresters,1056700000,Lightning Arresters
10,Fixed Assets,10.5,Plant and Machinery,10 571,Communication Equipment: Radio & High Frequency Carrier System,1057100000,Communication Equip:Radio & High Freq Carrier Syst
10,Fixed Assets,10.5,Plant and Machinery,10 571,Communication Equipment: Radio & High Frequency Carrier System,1057100001,Communi Equip:Radio & High Freq Carrier Syst (FIGL
10,Fixed Assets,10.5,Plant and Machinery,10 572,Communication Equipment: Telephone lines & Telephone,1057200000,Communication Equip: Telephone lines & Telephone
10,Fixed Assets,10.5,Plant and Machinery,10 574,Static Machine Tools & Equipments,1057400000,Static Machine Tools & Equipments
10,Fixed Assets,10.5,Plant and Machinery,10 576,Air-Conditioning Plant-Static,1057600000,Air-Conditioning Plant-Static
10,Fixed Assets,10.5,Plant and Machinery,10 577,Air-Conditioning Plant-Portable,1057700000,Air-Conditioning Plant-Portable
10,Fixed Assets,10.5,Plant and Machinery,10 580,Refrigerators and Water Coolers,1058000000,Refrigerators and Water Coolers
10,Fixed Assets,10.5,Plant and Machinery,10 581,Meter Testing Laboratory Tools & Equipments,1058100000,Meter Testing Laboratory Tools & Equipments
10,Fixed Assets,10.5,Plant and Machinery,10 583,Tools & Tackles,1058300000,Tools & Tackles
10,Fixed Assets,10.5,Plant and Machinery,10 599,Other Miscellaneous Equipments,1059900000,Other Miscellaneous Equipments
10,Fixed Assets,10.6,"Lines, Cable Network etc.",10 601,"Overhead Lines (towers, poles, fixtures, over-head conductors and devices): Lines on fabricated steel supports operating at nominal voltages higher than 66 KVA",1060100000,OL: L (fabricated steel supp)operating at V>66KVA
